Model,Class,Precision,Recall,Specificity,F1,Support,Disease,Best_Literature_Paper,Best_Literature_Model,Best_Literature_Precision,Best_Literature_Recall,Best_Literature_F1,Gap_To_Best_Literature_Precision,Gap_To_Best_Literature_Recall,Gap_To_Best_Literature_F1,Precision_Percent,Recall_Percent,Specificity_Percent,F1_Percent,Best_Literature_Precision_Percent,Best_Literature_Recall_Percent,Best_Literature_F1_Percent,Gap_To_Best_Literature_Precision_Percent,Gap_To_Best_Literature_Recall_Percent,Gap_To_Best_Literature_F1_Percent
DenseNet121,Healthy,0.8807692307692307,0.950207468879668,0.9454225352112676,0.9141716566866267,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.10513076923076925,-0.049792531120331995,-0.0787283433133733,88.07692307692308,95.0207468879668,94.54225352112677,91.41716566866268,98.59,100.0,99.29,-10.513076923076925,-4.9792531120331995,-7.87283433133733
EfficientNetB0,Healthy,0.9336099585062241,0.9336099585062241,0.971830985915493,0.9336099585062241,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.05229004149377592,-0.06639004149377592,-0.059290041493775925,93.3609958506224,93.3609958506224,97.1830985915493,93.3609958506224,98.59,100.0,99.29,-5.229004149377592,-6.639004149377592,-5.929004149377592
MobileNetV2,Healthy,0.888030888030888,0.9543568464730291,0.948943661971831,0.92,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.09786911196911197,-0.0456431535269709,-0.07289999999999996,88.8030888030888,95.4356846473029,94.8943661971831,92.0,98.59,100.0,99.29,-9.786911196911197,-4.56431535269709,-7.2899999999999965
ResNet50,Healthy,0.9338842975206612,0.9377593360995851,0.971830985915493,0.9358178053830227,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.05201570247933884,-0.06224066390041494,-0.05708219461697728,93.38842975206612,93.7759336099585,97.1830985915493,93.58178053830227,98.59,100.0,99.29,-5.201570247933884,-6.224066390041494,-5.708219461697728
Small_CNN,Healthy,0.7086614173228346,0.7468879668049793,0.8697183098591549,0.7272727272727273,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.2772385826771654,-0.25311203319502074,-0.2656272727272727,70.86614173228347,74.68879668049793,86.97183098591549,72.72727272727273,98.59,100.0,99.29,-27.72385826771654,-25.311203319502074,-26.562727272727273
VGG19,Healthy,0.8853754940711462,0.9294605809128631,0.948943661971831,0.9068825910931174,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.10052450592885376,-0.0705394190871369,-0.08601740890688259,88.53754940711462,92.9460580912863,94.8943661971831,90.68825910931174,98.59,100.0,99.29,-10.052450592885375,-7.05394190871369,-8.601740890688259
ViT_Tiny,Healthy,0.8739837398373984,0.8921161825726142,0.9454225352112676,0.8829568788501027,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.11191626016260159,-0.10788381742738584,-0.10994312114989735,87.39837398373984,89.21161825726142,94.54225352112677,88.29568788501027,98.59,100.0,99.29,-11.191626016260159,-10.788381742738585,-10.994312114989736
Xception,Healthy,0.8943089430894309,0.9128630705394191,0.954225352112676,0.9034907597535934,241,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.09159105691056912,-0.08713692946058094,-0.08940924024640662,89.43089430894308,91.28630705394191,95.4225352112676,90.34907597535934,98.59,100.0,99.29,-9.159105691056912,-8.713692946058094,-8.940924024640662
