Model,Overall_Accuracy,Macro_Precision,Macro_Recall_Sensitivity,Macro_Specificity,Macro_F1
ResNet50,0.9443757725587144,0.9427133193276084,0.9107451467824432,0.9801780707415942,0.9246996137636512
EfficientNetB0,0.9295426452410384,0.9217127871450386,0.881787084899849,0.9749221798865169,0.898216884612838
MobileNetV2,0.9245982694684796,0.9102079383615927,0.8816240916860829,0.9735720853202102,0.8937414403448949
DenseNet121,0.9171817058096415,0.9044649942410611,0.8419973974412757,0.9706461724777423,0.8630045138464568
Xception,0.9060568603213844,0.8749574065672373,0.8359242099045177,0.9670637635396621,0.8509894603805814
VGG19,0.9011124845488258,0.8776451918219749,0.8389948488568446,0.9651722795565121,0.8541949606866184
ViT_Tiny,0.8986402966625463,0.8520333909715494,0.8602455153098998,0.965824629033702,0.8555678625172403
Small_CNN,0.7292954264524104,0.5625937260795507,0.5876671959205506,0.9012702465995756,0.570837275307474
