Model,Class,Precision,Recall,Specificity,F1,Support,Disease,Best_Literature_Paper,Best_Literature_Model,Best_Literature_Precision,Best_Literature_Recall,Best_Literature_F1,Gap_To_Best_Literature_Precision,Gap_To_Best_Literature_Recall,Gap_To_Best_Literature_F1,Precision_Percent,Recall_Percent,Specificity_Percent,F1_Percent,Best_Literature_Precision_Percent,Best_Literature_Recall_Percent,Best_Literature_F1_Percent,Gap_To_Best_Literature_Precision_Percent,Gap_To_Best_Literature_Recall_Percent,Gap_To_Best_Literature_F1_Percent
DenseNet121,Healthy,0.6341463414634146,0.7428571428571429,0.8369565217391305,0.6842105263157895,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.35175365853658536,-0.2571428571428571,-0.3086894736842105,63.41463414634146,74.28571428571429,83.69565217391305,68.42105263157895,98.59,100.0,99.29,-35.17536585365853,-25.71428571428571,-30.86894736842105
EfficientNetB0,Healthy,0.8,0.8,0.9239130434782609,0.8,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.18589999999999995,-0.19999999999999996,-0.19289999999999996,80.0,80.0,92.3913043478261,80.0,98.59,100.0,99.29,-18.589999999999996,-19.999999999999996,-19.289999999999996
MobileNetV2,Healthy,0.6744186046511628,0.8285714285714286,0.8478260869565217,0.7435897435897436,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.31148139534883723,-0.17142857142857137,-0.2493102564102564,67.44186046511628,82.85714285714286,84.78260869565217,74.35897435897436,98.59,100.0,99.29,-31.148139534883722,-17.14285714285714,-24.931025641025638
ResNet50,Healthy,0.9259259259259259,0.7142857142857143,0.9782608695652174,0.8064516129032258,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.05997407407407407,-0.2857142857142857,-0.18644838709677425,92.5925925925926,71.42857142857143,97.82608695652173,80.64516129032258,98.59,100.0,99.29,-5.997407407407406,-28.57142857142857,-18.644838709677426
Small_CNN,Healthy,0.0,0.0,1.0,0.0,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.9859,-1.0,-0.9929,0.0,0.0,100.0,0.0,98.59,100.0,99.29,-98.59,-100.0,-99.29
VGG19,Healthy,0.7741935483870968,0.6857142857142857,0.9239130434782609,0.7272727272727273,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.21170645161290325,-0.3142857142857143,-0.2656272727272727,77.41935483870968,68.57142857142857,92.3913043478261,72.72727272727273,98.59,100.0,99.29,-21.170645161290324,-31.428571428571427,-26.562727272727273
ViT_Tiny,Healthy,0.4827586206896552,0.4,0.8369565217391305,0.4375,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.5031413793103447,-0.6,-0.5554,48.275862068965516,40.0,83.69565217391305,43.75,98.59,100.0,99.29,-50.31413793103447,-60.0,-55.54
Xception,Healthy,0.6216216216216216,0.6571428571428571,0.8478260869565217,0.6388888888888888,35,Healthy,Himel & Islam (2025),Stacking ensemble + Extra Trees,0.9859,1.0,0.9929,-0.3642783783783784,-0.34285714285714286,-0.35401111111111117,62.16216216216216,65.71428571428571,84.78260869565217,63.888888888888886,98.59,100.0,99.29,-36.42783783783784,-34.285714285714285,-35.40111111111111
