Model,Overall_Accuracy,Macro_Precision,Macro_Recall_Sensitivity,Macro_Specificity,Macro_F1
ResNet50,0.8503937007874016,0.8746692381070881,0.8364661654135338,0.9484057518681358,0.8445941008396401
EfficientNetB0,0.8267716535433071,0.8584249084249085,0.7969924812030076,0.9397594040058622,0.8119047619047619
MobileNetV2,0.7716535433070866,0.7995570321151717,0.7575187969924813,0.9218176102335849,0.765984015984016
DenseNet121,0.7559055118110236,0.8101656580475579,0.7031954887218045,0.9153028822667318,0.7094565960355435
VGG19,0.7480314960629921,0.7347431532915404,0.7146616541353383,0.9138655937324721,0.719286235852501
Xception,0.7007874015748031,0.7345720720720721,0.6603383458646617,0.8963173297870415,0.6698879823879824
ViT_Tiny,0.4409448818897638,0.3718858274212176,0.39210526315789473,0.8063324377137274,0.35216779279279276
Small_CNN,0.2992125984251969,0.15672782874617736,0.25338345864661654,0.7510991695163654,0.16544731099987164
